id,sentence,label
0,홍대 날씨가 오늘 맑은가요?,6
1,홍익대학교 날씨가 지금 맑은가요?,6
2,홍익대학교 날씨가 맑은지 알고 싶어요.,6
3,홍대 오늘 날씨가 맑은가요?,6
4,홍익대학교 오늘 날씨가 맑은지 궁금해요.,6
5,홍대 날씨가 맑은지 궁금해요.,6
6,홍익대학교 날씨가 맑은지 알고 싶어요.,6
7,홍대 오늘 날씨가 맑은지 알려주세요.,6
8,홍익대학교 오늘 날씨가 맑은가요?,6
9,홍익대학교 날씨가 지금 맑은지 궁금해요.,6
10,홍대 날씨가 맑은지 지금 확인해줄래요?,6
11,오늘 홍대 날씨가 맑은지 확인해줄래요?,6
12,홍익대학교 날씨가 오늘 맑은지 아세요?,6
13,지금 홍대 날씨가 맑은지 궁금해요.,6
14,홍익대학교 날씨가 맑은지 지금 알아봐줄래요?,6
15,홍대 근처 오늘 날씨가 맑은가요?,6
16,오늘 홍대 날씨가 맑은지 알아봐줄래요?,6
17,홍익대학교 오늘 날씨가 맑은지 확인해줄래요?,6
18,지금 홍대 날씨가 맑은지 아세요?,6
19,오늘 홍익대학교 날씨가 맑은지 알려주세요.,6
20,홍익대학교 오늘 날씨가 맑은지 아세요?,6
21,홍대 오늘 날씨가 맑은지 알고 싶어요.,6
22,오늘 홍대 날씨가 맑은지 확인해보셨나요?,6
23,홍익대학교 날씨가 맑은지 지금 알아볼 수 있나요?,6
24,홍대 날씨가 오늘 맑은지 확인해줄 수 있나요?,6
25,오늘 홍익대학교 날씨가 맑은지 알고 싶어요.,6
26,홍대 오늘 날씨가 맑은지 알아볼 수 있을까요?,6
27,홍익대학교 오늘 날씨가 맑은지 지금 알려주세요.,6
28,홍대 근처 날씨가 오늘 맑은지 궁금해요.,6
29,홍대 날씨가 맑은지 지금 아세요?,6
30,홍익대학교 오늘 날씨가 맑은지 궁금해요.,6
31,오늘 홍대 날씨가 맑은지 아시나요?,6
32,홍대 날씨가 맑은지 지금 확인해줄래?,6
33,오늘 홍익대학교 날씨가 맑은지 아세요?,6
34,지금 홍익대학교 날씨가 맑은지 알고 싶어요.,6
35,홍대 근처 날씨가 맑은지 아시나요?,6
