id,user_question,model_classification,model_answer,user_intended_classification,user_desired_answer,created_at,user_id
1,,,,,gdgd,2024-11-11 10:27:34.250694,1
2,,,,,ㅇㅇ,2024-11-12 01:46:30.454521,1
3,,,,,dd,2024-11-12 02:19:25.131840,1
4,,,,,dd,2024-11-12 03:54:35.348156,1
5,,,,,1339,2024-11-12 04:39:55.561738,1
6,,,,,1342,2024-11-12 04:42:04.212217,1
7,,,,,1350,2024-11-12 04:50:37.846709,1
8,학식,,,,1411,2024-11-12 05:11:20.665245,1
9,학식,,,,1413,2024-11-12 05:13:55.670529,1
10,학식,,"2024년 10월 31일 학식입니다.
학색식당(기숙사 식당)
아침 : 콩나물국, 쌀밥, 오삼불고기, 찐만두, 오이양파무침, 야채샐러드, 포기김치, 계절과일
점심 : 얼큰어묵국, 쌀밥, 돼지삼겹야채볶음, 치킨가스&허니머스타드, 청포묵무침, 야채샐러드, 포기김치, 냉음료
저녁 : 들깨무채국, 흑미밥, 안동찜닭, 돈가스&소스, 미역초무침, 야채샐러드, 포기김치, 계절과일

교직원식당
아침 : 크림스프, 쌀밥, 함박스테이크, 토마토펜네파스타, 야채샐러드, 모닝빵&딸기잼, 배추김치, Take out menu, 게살크래미주먹밥, 조지아커피캔,무설탕블랙, 고소한소보루빵
점심 : 얼큰김칫국, 쌀밥, 찜닭, 오징어핫바&케찹, 콩자반, 사과, 배추김치
저녁 : 얼큰김칫국, 쌀밥, 해물덮밥, 해물고로케&케찹, 고추지무침, 치커리무침, 배추김치

",,1423,2024-11-12 05:23:20.341606,1
11,학식,0,"2024년 10월 31일 학식입니다.
학색식당(기숙사 식당)
아침 : 콩나물국, 쌀밥, 오삼불고기, 찐만두, 오이양파무침, 야채샐러드, 포기김치, 계절과일
점심 : 얼큰어묵국, 쌀밥, 돼지삼겹야채볶음, 치킨가스&허니머스타드, 청포묵무침, 야채샐러드, 포기김치, 냉음료
저녁 : 들깨무채국, 흑미밥, 안동찜닭, 돈가스&소스, 미역초무침, 야채샐러드, 포기김치, 계절과일

교직원식당
아침 : 크림스프, 쌀밥, 함박스테이크, 토마토펜네파스타, 야채샐러드, 모닝빵&딸기잼, 배추김치, Take out menu, 게살크래미주먹밥, 조지아커피캔,무설탕블랙, 고소한소보루빵
점심 : 얼큰김칫국, 쌀밥, 찜닭, 오징어핫바&케찹, 콩자반, 사과, 배추김치
저녁 : 얼큰김칫국, 쌀밥, 해물덮밥, 해물고로케&케찹, 고추지무침, 치커리무침, 배추김치

",,1617,2024-11-12 07:18:00.821704,1
12,편의시설,25,"학교 내 편의시설 목록은 다음과 같습니다.

<학교 편의시설 목록>
카페
편의점
서적/문구
기타시설
컴퓨터매장
여행사
은행
약국(그런데 원이약국 사라짐)
외부식당
출력센터
사진관
학생/교직원식당
꽃집
체육시설
기숙사",,1850,2024-11-12 09:50:10.407406,1
13,날씨☀,147,"2024년 10월 31일 학교 주변 날씨입니다
온도 : 17.82
날씨 : 맑음
최저 기온 : 15.76 최고 기온 : 19.94
미세먼지 : 17


",,1851,2024-11-12 09:50:36.518236,1
14,연락처,16,"""연락처 검색""",,연락처,2024-11-12 09:52:53.539820,1
15,☀,23,"최근 게시된 학교 공지사항입니다.
제목(링크) | 게시날짜 | 작성자
제목 : 2024-2학기 노트북 사전신청 대여자 안내
링크 : https://wwwce.hongik.ac.kr/dept/0401.html?pkid=167471
작성자 : 한여은
작성일자 : 2024.08.22

제목 : 2024년 대학생을 위한 오픈소스SW라이선스 교육 안내(~8월 23일(금))
링크 : https://wwwce.hongik.ac.kr/dept/0401.html?pkid=167466
작성자 : 조현영
작성일자 : 2024.08.21

제목 : [한국과학기술원(KAIST)] 제 11기 과학기술전문사관 후보생(학사) 모집(~9월 13일 (금) 18:00)
링크 : https://wwwce.hongik.ac.kr/dept/0401.html?pkid=167462
작성자 : 조현영
작성일자 : 2024.08.21

제목 : 2024-2학기 태블릿 사전신청 대여자 안내
링크 : https://wwwce.hongik.ac.kr/dept/0401.html?pkid=167452
작성자 : 한여은
작성일자 : 2024.08.20

제목 : 24-2 졸업프로젝트1 분반배정결과 안내
링크 : https://wwwce.hongik.ac.kr/dept/0401.html?pkid=167443
작성자 : 컴퓨터공학과
작성일자 : 2024.08.19

",,"날씨인데 공지사항 출력됨, weather",2024-11-12 10:01:07.147099,1
16,1월,1월 학사일정에 대해 알려줘,"1월
2024학년도 신입생 정시모집 입학전형: 12월 1일(금) ~ 2월 29일(목)
2024학년도 편입생 입학전형: 12월 1일(금) ~ 2월 29일(목)
2024학년도 1학기 복학신청: 24일(수) ~ 2월 1일(목)",,"schedule, 학사일정",2024-11-12 10:16:33.632577,1
17,학관 열람실,법학 도서관(R동) 열람실 현황에 대해 알려줘,"""R동 열람실 좌석 현황""
전체 좌석 : 80, 사용좌석 0, 잔여좌석 80, 이용률 : 0%

열람실 현황의 링크 혹은 이미지",,"studyroom, 한글로 열람실",2024-11-12 10:19:02.862681,1
