id,sentence,label
0,학식 메뉴는 매일 바뀌나요?,1
1,학식에서 제공하는 음식은 영양적으로 균형이 잘 맞춰져 있나요?,1
2,대학교 학식의 평균 가격은 얼마인가요?,1
3,채식주의자를 위한 메뉴 옵션이 있나요?,1
4,학식에서 국제 음식을 제공하나요?,1
5,학식 메뉴에는 어떤 종류의 음료가 포함되어 있나요?,1
6,학식 식당은 주말에도 운영하나요?,1
7,학식을 이용하는 학생들의 만족도는 어느 정도인가요?,1
8,학식에서 사용하는 재료는 지역 농산물인가요?,1
9,학식장에서 음식을 포장해 갈 수 있나요?,1
10,학식 메뉴 중 인기 있는 음식은 무엇인가요?,1
11,학식장의 청결 상태는 어떠한가요?,1
12,학식장의 좌석 수는 충분한가요?,1
13,학식을 제공하는 시간은 얼마나 되나요?,1
14,학식 식당에서 친환경 용기를 사용하나요?,1
15,할랄 음식 옵션이 학식 메뉴에 포함되어 있나요?,1
16,학식 메뉴를 어떻게 확인할 수 있나요?,1
17,학식 식당에는 자동 주문 기계가 설치되어 있나요?,1
18,학식을 먹은 학생들은 대체로 건강에 만족하나요?,1
19,글루텐 프리 음식 옵션이 있나요?,1
20,학식에서 디저트 메뉴는 어떻게 제공되나요?,1
21,학식 식당은 어떤 결제 방식을 지원하나요?,1
22,학식 식당은 학기 중에만 운영하나요?,1
23,학식 메뉴에 알레르기 정보는 어떻게 표시되나요?,1
24,학식의 칼로리 정보를 어디에서 확인할 수 있나요?,1
25,학식에서 비건 음식을 찾을 수 있나요?,1
26,학식 식당은 몇 개의 출입구를 가지고 있나요?,1
27,학식 식당은 얼마나 자주 위생 검사를 받나요?,1
28,학식을 이용할 때 자주 발생하는 문제는 무엇인가요?,1
29,학식 식당에서 특별한 행사나 할인 행사를 열기도 하나요?,1
30,학식 식당의 대기 시간은 보통 얼마나 되나요?,1
31,학식에서 제공하는 샐러드 옵션은 어떠한가요?,1
32,학식 식당에서는 학생들의 피드백을 어떻게 수집하나요?,1
33,학식 식당에서 직원들의 서비스 태도는 어떠한가요?,1
34,학식 식당은 얼마나 넓은 공간을 차지하고 있나요?,1
35,학식 식당에서 제공하는 소스나 양념은 다양한가요?,1
36,학식 식당에서 식사하는 데 필요한 시간은 평균 얼마나 되나요?,1
37,"학식 식당에서 음식을 남기는 경우, 그 음식은 어떻게 처리되나요?",1
38,학식 식당에서는 주로 어떤 종류의 육류를 사용하나요?,1
39,학식 메뉴에서 해산물을 자주 볼 수 있나요?,1
40,학식 식당의 조리 방식은 주로 어떤 것을 사용하나요?,1
41,학식 식당에서 가장 인기 있는 시간대는 언제인가요?,1
42,학식 식당은 특정 종교의 음식 규범을 따르고 있나요?,1
