id,sentence,label
0,현재 홍익대학교의 총장님은 누구인가요?,8
1,홍대 총장님은 누구세요?,8
2,학교 총장은 지금 누구야?,8
3,홍익대학교의 총장이 누구인지 알아요?,8
4,홍대 총장님 성함이 뭐야?,8
5,학교 총장님이 누구신가요?,8
6,홍익대학교 총장님 이름이 뭐죠?,8
7,홍대 총장은 누구인지 설명해 줘.,8
8,홍익대학교 총장님은 언제 취임했나요?,8
9,홍대 총장님 경력이 어떻게 되세요?,8
10,현재 학교 총장은 누구시죠?,8
11,홍익대학교의 총장은 어떤 분인가요?,8
12,홍대 총장님은 누구신가요?,8
13,학교 총장님은 누구야?,8
14,홍익대학교 총장이 누구인지 알아봐줘.,8
15,홍대 총장님이 누구신지 알려줘.,8
16,학교 총장은 언제부터 그분이야?,8
17,홍익대학교 총장님은 어떤 일을 하시나요?,8
18,홍대 총장님은 어디 출신이야?,8
19,학교 총장님의 학력은 어떻게 돼요?,8
20,홍익대학교 총장님은 언제 취임했어?,8
21,홍대 총장님의 이름이 뭐지?,8
22,현재 학교 총장님은 누구인가요?,8
23,홍익대학교의 총장님은 누구셔?,8
24,홍대 총장은 누구야?,8
25,학교 총장은 누구인지 알려줘.,8
26,홍익대학교 총장님의 성함은?,8
27,홍대 총장님은 언제부터 재직 중이신가요?,8
28,현재 학교 총장님은 누구시죠?,8
29,홍익대학교 총장님이 누구신지 설명해 주세요.,8
30,홍대 총장은 어떤 분이야?,8
31,학교 총장님이 누구인지 알아?,8
32,홍익대학교의 총장은 언제 임명되었나요?,8
33,홍대 총장님 경력이 뭐야?,8
34,학교 총장님의 주요 업적은 뭐죠?,8
35,홍익대학교 총장님 성함이 뭐예요?,8
36,홍대 총장은 누구시지?,8
37,학교 총장님이 누구인지 설명해 줘.,8
38,홍익대학교 총장님은 언제부터 계셨나요?,8
39,홍대 총장님이 누구신지 알아요?,8
40,학교 총장님은 누구신가요?,8
41,홍익대학교의 총장님에 대해 알고 싶어요.,8
42,홍대 총장은 지금 누구야?,8
43,학교 총장은 어떤 일을 하세요?,8
44,홍익대학교 총장님은 어떤 분이신가요?,8
45,홍대 총장님의 임기는 언제까지야?,8
46,학교 총장은 언제 임명되셨나요?,8
47,홍익대학교 총장님은 누구시지?,8
48,홍대 총장은 누구인가요?,8
49,학교 총장님에 대해 알려줄래?,8
50,홍익대학교의 교육 이념은 무엇인가요?,8
51,홍대의 교육목표는 뭐야?,8
52,학교의 건학이념은 무엇이지?,8
53,홍익대학교의 교육 목적이 뭔가요?,8
54,홍익대학교의 교육 이념을 설명해 줘.,8
55,홍대의 교육목표가 뭐야?,8
56,학교의 교육 이념은 뭐야?,8
57,홍익대학교의 교육목적이 뭔지 알려줘.,8
58,홍대의 건학이념은 무엇인가요?,8
59,홍익대학교의 교육목표는 무엇인가요?,8
60,홍대의 교육 이념은 무엇이야?,8
61,학교의 교육목적이 뭐지?,8
62,홍익대학교의 교육목표를 알려줘.,8
63,홍대의 교육 이념을 설명해 봐.,8
64,홍익대학교가 원하는 인재상은 뭐야?,8
65,홍익대학교의 교육 목표는 무엇인가요?,8
66,홍대의 교육이념은 뭐야?,8
67,학교의 교육목표는 무엇인가요?,8
68,홍익대학교의 교육 이념이 무엇인지 알려줘.,8
69,홍대의 교육목적이 뭐야?,8
70,학교의 교육 이념을 설명해줘.,8
71,홍익대학교의 교육목표가 뭔지 알아?,8
72,홍익대학교의 교육목적은 무엇인가요?,8
73,홍대의 교육목표는 뭔가요?,8
74,학교의 교육 이념이 뭐야?,8
75,홍익대학교의 교육목적을 설명해 줘.,8
76,홍대의 교육 이념이 뭐지?,8
77,홍익대학교의 건학이념은 무엇인가요?,8
78,홍익대학교의 교육 목표가 뭐야?,8
79,홍대의 교육이념을 알려줘.,8
80,학교의 교육목적은 무엇이지?,8
81,홍익대학교의 교육목표는 뭔지 설명해 줘.,8
82,홍대의 교육목표를 설명해 봐.,8
83,홍익대학교의 교육 이념을 알려줘.,8
84,학교의 교육목적이 뭐야?,8
85,홍익대학교의 건학이념이 뭐야?,8
86,홍대의 교육 이념은 무엇인가요?,8
87,홍익대학교의 교육목적이 무엇인지 알려줘.,8
88,홍대의 교육목표가 뭐지?,8
89,학교의 교육 이념은 무엇인가요?,8
90,홍익대학교의 교육 목표가 뭐지?,8
91,홍대의 건학이념은 무엇이야?,8
92,학교의 교육목적을 설명해줘.,8
93,홍익대학교의 교육목표가 뭐야?,8
94,홍대의 교육이념을 설명해 줘.,8
